Time [ms],FluxLinkage(PhaseA) [Wb]
8.34,0.169683248
8.36,0.171402419
8.38,0.173059351
8.4,0.174659385
8.42,0.176244164
8.44,0.177813999
8.46,0.179401611
8.48,0.180978076
8.5,0.1824926
8.52,0.184019481
8.54,0.185552387
8.56,0.187192127
8.58,0.189095907
8.6,0.191216421
8.62,0.193290351
8.64,0.195220392
8.66,0.197190358
8.68,0.199173904
8.7,0.20112618
8.72,0.203012246
8.74,0.204822847
8.76,0.206529566
8.78,0.208055708
8.8,0.209473901
8.82,0.210866433
8.84,0.212285363
8.86,0.213798581
8.88,0.21539783
8.9,0.217039175
8.92,0.218661871
8.94,0.220271405
8.96,0.22187166
8.98,0.223513541
9,0.225197103
9.02,0.226894946
9.04,0.228584164
9.06,0.230210095
9.08,0.23173908
9.1,0.233182895
9.12,0.234515465
9.14,0.235704161
9.16,0.236638313
9.18,0.237282085
9.2,0.237696255
9.22,0.237895875
9.24,0.237920078
9.26,0.237829192
9.28,0.237690396
9.3,0.237554961
9.32,0.237377015
9.34,0.237224919
9.36,0.237135784
9.38,0.237110361
9.4,0.237178135
9.42,0.237363084
9.44,0.23763095
9.46,0.237755134
9.48,0.237819007
9.5,0.237811418
9.52,0.237679935
9.54,0.237413501
9.56,0.236921429
9.58,0.236180595
9.6,0.23515816
9.62,0.233852222
9.64,0.232391316
9.66,0.23087229
9.68,0.229279606
9.7,0.227577931
9.72,0.225793279
9.74,0.224007216
9.76,0.222219914
9.78,0.220489701
9.8,0.218848113
9.82,0.217273031
9.84,0.215709531
9.86,0.214136283
9.88,0.212613473
9.9,0.211126825
9.92,0.209662894
9.94,0.208255272
9.96,0.206886894
9.98,0.205448526
10,0.203839287
10.02,0.201895303
10.04,0.199911058
10.06,0.197892931
10.08,0.195871671
10.1,0.193887938
10.12,0.191957497
10.14,0.190089433
10.16,0.188192852
10.18,0.186453891
10.2,0.18489062
10.22,0.183408611
10.24,0.181938873
10.26,0.180480216
10.28,0.1789991
10.3,0.177414351
10.32,0.175828801
10.34,0.174210363
10.36,0.172576025
10.38,0.17091467
10.4,0.169194361
10.42,0.167404785
10.44,0.165519853
10.46,0.163631874
10.48,0.161802474
10.5,0.159953639
10.52,0.158021903
10.54,0.155949021
10.56,0.153768471
10.58,0.15159707
10.6,0.149483483
10.62,0.147440609
10.64,0.145451783
10.66,0.143487622
10.68,0.141541376
10.7,0.139613816
10.72,0.137716166
10.74,0.135839933
10.76,0.134017757
10.78,0.132398639
10.8,0.130928913
10.82,0.129424876
10.84,0.127682351
10.86,0.125729553
10.88,0.123754766
10.9,0.121736801
10.92,0.119655034
10.94,0.117501538
10.96,0.115305552
10.98,0.11303251
11,0.11062127
11.02,0.108193938
11.04,0.105742659
11.06,0.1033271
11.08,0.101110646
11.1,0.099053995
11.12,0.096988154
11.14,0.094843475
11.16,0.092849155
11.18,0.091056822
11.2,0.089443246
11.22,0.087881101
11.24,0.086294488
11.26,0.084674088
11.28,0.083098612
11.3,0.081610218
11.32,0.08017259
11.34,0.078557464
11.36,0.07670967
11.38,0.074586429
11.4,0.072272239
11.42,0.069931094
11.44,0.067617949
11.46,0.065369124
11.48,0.063245236
11.5,0.06125009
11.52,0.05939128
11.54,0.057665183
11.56,0.056084177
11.58,0.054635852
11.6,0.053294649
11.62,0.052056314
11.64,0.050929447
11.66,0.049919026
11.68,0.048879943
11.7,0.047890119
11.72,0.047015528
11.74,0.046225242
11.76,0.045486637
11.78,0.044776605
11.8,0.044106441
11.82,0.043489427
11.84,0.042921904
11.86,0.042384217
11.88,0.041862952
11.9,0.041375985
11.92,0.040940743
11.94,0.040558393
11.96,0.040129759
11.98,0.039721916
12,0.039363942
12.02,0.039045333
12.04,0.038741473
12.06,0.038444029
12.08,0.038164025
12.1,0.03791421
12.12,0.037685133
12.14,0.037463383
12.16,0.037248071
12.18,0.037056609
12.2,0.036893469
12.22,0.036757913
12.24,0.036577203
12.26,0.036416931
12.28,0.03628446
12.3,0.036171744
12.32,0.036067317
12.34,0.035965419
12.36,0.035876345
12.38,0.035806894
12.4,0.035750772
12.42,0.035699312
12.44,0.035653659
12.46,0.035625294
12.48,0.035622344
12.5,0.035644239
12.52,0.03562649
12.54,0.035633738
12.56,0.035663366
12.58,0.03570785
12.6,0.035758838
12.62,0.03581506
12.64,0.0358849
12.66,0.035972061
12.68,0.036071778
12.7,0.03617441
12.72,0.036283302
12.74,0.036410219
12.76,0.03656414
12.78,0.036738739
12.8,0.036874641
12.82,0.03703698
12.84,0.037229407
12.86,0.03744753
12.88,0.037671228
12.9,0.037902634
12.92,0.038155895
12.94,0.038440449
12.96,0.0387433
12.98,0.039053251
13,0.039380733
13.02,0.039748418
13.04,0.040162005
13.06,0.040595348
13.08,0.040996769
13.1,0.04144862
13.12,0.041950467
13.14,0.04248749
13.16,0.043042515
13.18,0.043628434
13.2,0.04426289
13.22,0.044949928
13.24,0.045677148
13.26,0.04643669
13.28,0.047259952
13.3,0.04817019
13.32,0.049188649
13.34,0.050253066
13.36,0.051299444
13.38,0.052459799
13.4,0.053729055
13.42,0.055109895
13.44,0.056608136
13.46,0.058245464
13.48,0.060017992
13.5,0.061904545
13.52,0.063925242
13.54,0.06607422
13.56,0.068355014
13.58,0.070684909
13.6,0.073020423
13.62,0.075261187
13.64,0.077248304
13.66,0.07901452
13.68,0.080635955
13.7,0.08210936
13.72,0.083600562
13.74,0.085170486
13.76,0.086783488
13.78,0.088372501
13.8,0.089951581
13.82,0.091582996
13.84,0.093349659
13.86,0.095362614
13.88,0.097538959
13.9,0.099653166
13.92,0.101782438
13.94,0.104072758
13.96,0.106512301
13.98,0.10890479
14,0.111326289
14.02,0.113743417
14.04,0.116004535
14.06,0.118172091
14.08,0.120285483
14.1,0.122325664
14.12,0.124318752
14.14,0.126291812
14.16,0.128262925
14.18,0.129999439
14.2,0.131494549
14.22,0.13298371
14.24,0.134628683
14.26,0.136404953
14.28,0.138272316
14.3,0.140192983
14.32,0.142142273
14.34,0.14411119
14.36,0.146102662
14.38,0.148123853
14.4,0.150199451
14.42,0.152333391
14.44,0.154510116
14.46,0.156645636
14.48,0.158655628
14.5,0.160523203
14.52,0.162325525
14.54,0.164168696
14.56,0.166072695
14.58,0.16795949
14.6,0.16973378
14.62,0.171444585
14.64,0.17310731
14.66,0.174748918
14.68,0.17637273
14.7,0.17796998
14.72,0.179574477
14.74,0.181052992
14.76,0.182508647
14.78,0.183975976
14.8,0.185447145
14.82,0.187032381
14.84,0.188807202
14.86,0.190728281
14.88,0.192578851
14.9,0.194486667
14.92,0.19644307
14.94,0.198431771
14.96,0.200423511
14.98,0.202384568
15,0.204305679
15.02,0.205883361
15.04,0.207291762
15.06,0.208647706
15.08,0.210064411
15.1,0.211547928
15.12,0.213066607
15.14,0.214626051
15.16,0.216229378
15.18,0.217830298
15.2,0.21944597
15.22,0.221113951
15.24,0.222859749
15.26,0.224648075
15.28,0.226418693
15.3,0.22817881
15.32,0.229861655
15.34,0.231435262
15.36,0.23291045
15.38,0.234318956
15.4,0.235562931
15.42,0.23651107
15.44,0.237188355
15.46,0.237608969
15.48,0.237799494
15.5,0.237824433
15.52,0.237757226
15.54,0.237660878
15.56,0.237527592
15.58,0.237302073
15.6,0.237180999
15.62,0.237142152
15.64,0.237154104
15.66,0.237253961
15.68,0.237427819
15.7,0.237609344
15.72,0.237729494
15.74,0.237854745
15.76,0.237930553
15.78,0.237854245
15.8,0.23756905
15.82,0.237056492
15.84,0.236311114
15.86,0.235282305
15.88,0.234035105
15.9,0.232700065
15.92,0.231241369
15.94,0.229669687
15.96,0.227992788
15.98,0.226268893
16,0.224560666
16.02,0.222863789
16.04,0.22119172
16.06,0.219612465
16.08,0.21806069
16.1,0.216509187
16.12,0.214935629
16.14,0.213392702
16.16,0.211904404
16.18,0.210459123
16.2,0.209060232
16.22,0.207629611
16.24,0.206086181
16.26,0.204359035
16.28,0.202524538
16.3,0.200602759
16.32,0.1986057
16.34,0.196579791
16.36,0.194571873
16.38,0.192611448
16.4,0.190524951
16.42,0.188424026
16.44,0.186560634
16.46,0.18495524
16.48,0.183440858
16.5,0.18192455
16.52,0.180420707
16.54,0.178858636
16.56,0.177289659
16.58,0.175736458
16.6,0.174159906
16.62,0.172559827
16.64,0.170889363
16.66,0.169147262
16.68,0.167302763
16.7,0.165374855
16.72,0.16342557
16.74,0.161500197
16.76,0.159667674
16.78,0.157756699
16.8,0.15572298
16.82,0.153619762
16.84,0.151541543
16.86,0.149496929
16.88,0.147485911
16.9,0.145535395
16.92,0.14359596
16.94,0.141669611
16.96,0.139737551
16.98,0.13785182
17,0.136014566
17.02,0.134254998
17.04,0.132636365
17.06,0.131069923
17.08,0.129419337
17.1,0.127563471
17.12,0.125642457
17.14,0.123652983
17.16,0.12159448
17.18,0.1194884
17.2,0.11734677
17.22,0.115184363
17.24,0.112722649
17.26,0.110215542
17.28,0.107769969
17.3,0.105393487
17.32,0.103101919
17.34,0.100977542
17.36,0.098993382
17.38,0.096902577
17.4,0.094930425
17.42,0.093107881
17.44,0.091409493
17.46,0.089815091
