Time [ms],FluxLinkage(PhaseA) [],Moving1.Position []
28.1,0.048109726,0.882787536
28.2,0.04981719,0.885929128
28.3,0.051835729,0.889070721
28.4,0.054254217,0.892212314
28.5,0.057365932,0.895353906
28.6,0.061178513,0.898495499
28.7,0.065012339,0.901637092
28.8,0.069559737,0.904778684
28.9,0.07467836,0.907920277
29,0.079644347,0.91106187
29.1,0.085147977,0.914203462
29.2,0.090819531,0.917345055
29.3,0.096607685,0.920486648
29.4,0.102018332,0.92362824
29.5,0.107252574,0.926769833
29.6,0.112434806,0.929911425
29.7,0.117814741,0.933053018
29.8,0.123311132,0.936194611
29.9,0.129032402,0.939336203
30,0.134717146,0.942477796
30.1,0.139572892,0.945619389
30.2,0.144879976,0.948760981
30.3,0.150340446,0.951902574
30.4,0.155981673,0.955044167
30.5,0.161346808,0.958185759
30.6,0.166485775,0.961327352
30.7,0.171606379,0.964468945
30.8,0.176905539,0.967610537
30.9,0.182318359,0.97075213
31,0.187958702,0.973893723
31.1,0.19364565,0.977035315
31.2,0.19853806,0.980176908
31.3,0.203777905,0.983318501
31.4,0.209182153,0.986460093
31.5,0.214813882,0.989601686
31.6,0.220188998,0.992743279
31.7,0.225280503,0.995884871
31.8,0.230306436,0.999026464
31.9,0.235459307,1.002168056
32,0.240742142,1.005309649
32.1,0.246155047,1.008451242
32.2,0.25166025,1.011592834
32.3,0.256551091,1.014734427
32.4,0.261684308,1.01787602
32.5,0.267003391,1.021017612
32.6,0.272534062,1.024159205
32.7,0.277834871,1.027300798
32.8,0.282821595,1.03044239
32.9,0.287781914,1.033583983
33,0.292833683,1.036725576
33.1,0.298150039,1.039867168
33.2,0.303601377,1.043008761
33.3,0.309133535,1.046150354
33.4,0.314041912,1.049291946
33.5,0.318984506,1.052433539
33.6,0.324132755,1.055575132
33.7,0.329489654,1.058716724
33.8,0.334669049,1.061858317
33.9,0.339533406,1.06499991
34,0.344348961,1.068141502
34.1,0.349312586,1.071283095
34.2,0.354455006,1.074424688
34.3,0.359747486,1.07756628
34.4,0.365155936,1.080707873
34.5,0.369974604,1.083849465
34.6,0.374735394,1.086991058
34.7,0.379839358,1.090132651
34.8,0.385192385,1.093274243
34.9,0.390409239,1.096415836
35,0.395210348,1.099557429
35.1,0.399980806,1.102699021
35.2,0.404679345,1.105840614
35.3,0.409562325,1.108982207
35.4,0.414475237,1.112123799
35.5,0.419596756,1.115265392
35.6,0.42428298,1.118406985
35.7,0.428773217,1.121548577
35.8,0.433692541,1.12469017
35.9,0.438744866,1.127831763
36,0.44365615,1.130973355
36.1,0.448208863,1.134114948
36.2,0.452647574,1.137256541
36.3,0.456988725,1.140398133
36.4,0.461297769,1.143539726
36.5,0.465768397,1.146681319
36.6,0.470219426,1.149822911
36.7,0.473788695,1.152964504
36.8,0.476346191,1.156106097
36.9,0.478669754,1.159247689
37,0.480483285,1.162389282
37.1,0.481983902,1.165530874
37.2,0.482930812,1.168672467
37.3,0.483539789,1.17181406
37.4,0.483863351,1.174955652
37.5,0.483842983,1.178097245
37.6,0.483683101,1.181238838
37.7,0.483276384,1.18438043
37.8,0.482570489,1.187522023
37.9,0.481504965,1.190663616
38,0.480099087,1.193805208
38.1,0.478040009,1.196946801
38.2,0.475754436,1.200088394
38.3,0.47330883,1.203229986
38.4,0.469798084,1.206371579
38.5,0.465053825,1.209513172
38.6,0.460263964,1.212654764
38.7,0.455836823,1.215796357
38.8,0.451539815,1.21893795
38.9,0.447240121,1.222079542
39,0.442650996,1.225221135
39.1,0.437889262,1.228362728
39.2,0.432857637,1.23150432
39.3,0.428015888,1.234645913
39.4,0.42381697,1.237787506
39.5,0.419307702,1.240929098
39.6,0.4139519,1.244070691
39.7,0.408570327,1.247212283
39.8,0.403643844,1.250353876
39.9,0.398896933,1.253495469
40,0.394224934,1.256637061
